"text","label"
"Радикалды саяси идеологияның таралуына сенімді тосқауыл қою керек.","Религиозный экстремизм"
"Они готовы к любым насильственным действиям для достижения своих политических целей.","Религиозный экстремизм"
"Саяси экстремизмнің тарихи тамыры тереңде жатыр және оны зерттеу маңызды.","Религиозный экстремизм"
"Заблокированы финансовые счета лиц, подозреваемых в спонсировании политического экстремизма.","Религиозный экстремизм"
"Конституцияға қарсы бағытталған саяси әрекеттерге жол берілмейді.","Религиозный экстремизм"
"Эффективная борьба с коррупцией может снизить привлекательность экстремистских политических идей.","Религиозный экстремизм"
"Экстремистік саяси топтардың символдары мен атрибуттарына тыйым салынған.","Религиозный экстремизм"
"Политический экстремизм часто бывает тесно связан с организованной преступностью.","Религиозный экстремизм"
"Желідегі саяси пікірталастарда өшпенділік тілі мен агрессия қолданылмауы тиіс.","Религиозный экстремизм"
"Призывы к геноциду по политическим мотивам – крайняя и ужасающая форма экстремизма.","Религиозный экстремизм"
"Саяси экстремизммен күрес – бұл бір күндік емес, ұзақ мерзімді процесс.","Религиозный экстремизм"
"Они вербуют сторонников, обещая быстрое и простое решение всех политических проблем.","Религиозный экстремизм"
"Экстремистік саяси материалдарды репост жасау немесе лайк басу да қауіпті болуы мүмкін.","Религиозный экстремизм"
"Необходимо повышать медиаграмотность населения для борьбы с экстремистской пропагандой.","Религиозный экстремизм"
"Зорлық-зомбылықпен билікке келуге бағытталған саяси әрекеттердің жолы кесілді.","Религиозный экстремизм"
"Политический экстремизм – это идеология нетерпимости, ненависти и насилия.","Религиозный экстремизм"
"Саяси экстремизмге қарсы күрес жөніндегі халықаралық конвенциялар мен келісімдер бар.","Религиозный экстремизм"
"Распространение идей насильственного сепаратизма может быть признано политическим экстремизмом.","Религиозный экстремизм"
"Жастар арасында радикалды саяси көзқарастардың алдын алу өте маңызды.","Религиозный экстремизм"
"Спецслужбы ведут постоянную агентурную работу по выявлению экстремистских политических ячеек.","Религиозный экстремизм"
"Қоғамдық қауіпсіздікке қатер төндіретін саяси әрекеттер дереу тоқтатылды.","Религиозный экстремизм"
"Использование фейковых новостей для разжигания политической ненависти и вражды.","Религиозный экстремизм"
"Саяси экстремизммен күресте әрбір саналы азаматтың белсенділігі қажет.","Религиозный экстремизм"
"Они призывают к физической расправе над инакомыслящими и политическими оппонентами.","Религиозный экстремизм"
"Саяси экстремизмнің психологиялық аспектілері мен себептерін терең зерттеу керек.","Религиозный экстремизм"
"Закон четко определяет, какие политические действия и высказывания считаются экстремистскими.","Религиозный экстремизм"
"Радикалды саяси топтардың жасырын қаржылық ағындарын бақылау күшейтілді.","Религиозный экстремизм"
"Политический экстремизм может принимать различные формы – от ультраправых до ультралевых.","Религиозный экстремизм"
"Билікті күшпен құлатуға шақыру – мемлекетке қарсы жасалған ауыр қылмыс.","Религиозный экстремизм"
"Призывы идти на штурм административных зданий в столице через соцсети.","Религиозный экстремизм"
"Ол өзінің видеосында қарулы көтеріліске шығуға үгіттегені үшін сотталды.","Религиозный экстремизм"
"В секретном чате обсуждали планы по силовому захвату региональной администрации.","Религиозный экстремизм"
"Уақыт келді, бұл сатылған режимді құлату керек дейді радикалды оппозиция.","Религиозный экстремизм"
"Кровь врагов народа – вот их основной лозунг в агитационных материалах.","Религиозный экстремизм"
"Саяси оппоненттерді физикалық тұрғыдан жоюға үндеулер жасырын желіде тарады.","Религиозный экстремизм"
"Распространение подробных инструкций по организации государственного переворота онлайн.","Религиозный экстремизм"
"Олардың жаңа саяси манифесінде қарулы күрес жалғыз дұрыс жол деп жарияланған.","Религиозный экстремизм"
"Подстрекательство к насильственным действиям против сотрудников правопорядка во время митингов.","Религиозный экстремизм"
"Белгілі бір саяси топты сатқындар деп атап, оларға қарсы репрессияға шақырулар айтылды.","Религиозный экстремизм"
"Разжигание ненависти к представителям власти через анонимные Telegram-каналы и паблики.","Религиозный экстремизм"
"Олардың агрессивті саяси риторикасы қоғамды қасақана жікке бөлуге бағытталған.","Религиозный экстремизм"
"Использование уничижительных терминов типа либерасты или ватники для разжигания политической вражды.","Религиозный экстремизм"
"Арандатушылық саяси мәлімдемелер арқылы этникалық негізде жағдайды ушықтыру.","Религиозный экстремизм"
"Пропаганда тотальной нетерпимости к любым иным политическим взглядам, кроме своих собственных.","Религиозный экстремизм"
"Комментарийлерде депутаттарға және олардың отбасыларына қарсы зорлық-зомбылыққа шақырулар анықталды.","Религиозный экстремизм"
"Публикация списков врагов нации с домашними адресами и прямыми угрозами физической расправы.","Религиозный экстремизм"
"Бұл жасырын саяси топтың идеологиясы толығымен жеккөрушілік пен ксенофобияға негізделген.","Религиозный экстремизм"
"Hate speech как основной инструмент мобилизации радикально настроенной политизированной молодежи.","Религиозный экстремизм"
"Таулы аймақта саяси экстремистердің жасырын әскери дайындық лагерінің орны анықталды.","Религиозный экстремизм"
"Создание народных дружин с целью силового противостояния полиции во время несанкционированных митингов.","Религиозный экстремизм"
"Олар қала сыртындағы қоймада қару-жарақ пен жарылғыш заттар арсеналын жасақтаған.","Религиозный экстремизм"
"Вербовка бывших участников боевых действий в незаконные парамилитарные политические формирования.","Религиозный экстремизм"
"Бұл топтың мүшелері қарулы қақтығысқа және партизандық соғысқа белсенді дайындалған.","Религиозный экстремизм"
"Задержание предполагаемого лидера незаконного вооруженного формирования Бостандық сарбаздары.","Религиозный экстремизм"
"Олардың түпкі саяси жоспары – қарулы топтар арқылы билікке ультиматум қою.","Религиозный экстремизм"
"Training camps for urban guerrilla warfare tactics linked to political extremists discovered near the border.","Религиозный экстремизм"
"Кез келген заңсыз парамилитарлық құрылым мемлекет қауіпсіздігіне тікелей қатер төндіреді.","Религиозный экстремизм"
"Изъят крупный арсенал оружия и взрывчатки у группы предполагаемых политических экстремистов.","Религиозный экстремизм"
"Жарылыстар мен терактілерді халықтың төзімі таусылғандағы қаһары деп ақтауға тырысу.","Религиозный экстремизм"
"Оправдание политических убийств оппонентов революционной необходимостью и высшей справедливостью.","Религиозный экстремизм"
"Бұл саяси идеология зорлық-зомбылықты мақсатқа жетудің легитимді құралы ретінде қабылдайды.","Религиозный экстремизм"
"Публичное одобрение и героизация действий международных террористических организаций как борцов за свободу.","Религиозный экстремизм"
"Олардың лидері журналистерге берген сұхбатында саяси шабуылдарды мәжбүрлі шара деп атады.","Религиозный экстремизм"
"Systematic glorification of individuals who committed acts of political violence against the state institutions.","Религиозный экстремизм"
"Зорлық-зомбылық ешқашан саяси мәселелерді шешудің өркениетті және заңды жолы бола алмайды.","Религиозный экстремизм"
"Продвижение в сети идеи о священной войне против коррумпированной и антинародной власти.","Религиозный экстремизм"
"Саяси терроризмді кез келген түрде ақтау – экстремизмнің ең қауіпті көріністерінің бірі.","Религиозный экстремизм"
"Justifying deliberate attacks on civilians and infrastructure for achieving political goals is unacceptable.","Религиозный экстремизм"
"Желіде тыйым салынған радикалды саяси авторлардың кітаптары мен манифесттері таратылуда.","Религиозный экстремизм"
"Распространение листовок с прямыми призывами к насильственному свержению конституционного строя на улицах.","Религиозный экстремизм"
"Экстремистік саяси мазмұндағы аудио-лекциялар WhatsApp топтары арқылы жастар арасында кеңінен тараған.","Религиозный экстремизм"
"Администратор популярного политического паблика привлечен к ответственности за публикацию экстремистских видео.","Религиозный экстремизм"
"Бұл сайтта ашық түрде радикалды, ксенофобтық саяси идеология насихатталады.","Религиозный экстремизм"
"Reposting or sharing extremist political content online is also a punishable offense in our country.","Религиозный экстремизм"
"Арнайы шифрланған мессенджерлердегі саяси каналдар арқылы үгіт-насихат жасырын жүргізілген.","Религиозный экстремизм"
"Обнаружена подпольная типография, печатавшая экстремистские политические газеты и брошюры.","Религиозный экстремизм"
"Компьютерлік ойындар мен фильмдер арқылы жастардың санасына радикалды саяси идеяларды сіңіру әрекеттері.","Религиозный экстремизм"
"Генпрокуратура потребовала блокировки доступа к интернет-ресурсам, содержащим экстремистские политические призывы.","Религиозный экстремизм"
"Жұмыссыз жастарды радикалды саяси топтарға тарту әрекеттері онлайн платформаларда белсенді жүріп жатыр.","Религиозный экстремизм"
"Вербовка в экстремистские политические организации активно ведется в местах лишения свободы среди осужденных.","Религиозный экстремизм"
"Олар қоғамдағы әлеуметтік қиындықтар мен әділетсіздікті пайдаланып, өздеріне жақтастар жинайды.","Религиозный экстремизм"
"Использование методов психологического давления и манипуляции при вербовке новых членов в политические ячейки.","Религиозный экстремизм"
"Құқық қорғау органдары экстремистік саяси топтарға жаңа мүшелерді тарту әрекеттерін тоқтатты.","Религиозный экстремизм"
"Online recruiters targeting vulnerable youth, exploiting their political grievances and offering simple solutions.","Религиозный экстремизм"
"Олар өз қатарларына қосылуға шақырып, тез арада әділеттілік орнатуға саяси уәде береді.","Религиозный экстремизм"
"Пресечена деятельность активного вербовщика международной террористической организации ИГИЛ, имевшего политические мотивы.","Религиозный экстремизм"
"Кейбір университеттер мен колледждерде студенттер арасында жасырын саяси үгіт жүргізілгені анықталды.","Религиозный экстремизм"
"Promising substantial financial rewards and status for joining the extremist political cause abroad.","Религиозный экстремизм"
"Экстремистік саяси ұйымды шетелдегі белгісіз демеушілер қаржыландыру фактілері дәлелденді.","Религиозный экстремизм"
"Сбор средств через анонимные криптовалютные кошельки для поддержки радикальных политических групп.","Религиозный экстремизм"
"Бұл ірі бизнестің саяси экстремизмді жасырын қаржыландыруға қатысы бар деген күдік расталды.","Религиозный экстремизм"
"Перекрытие каналов финансирования политического экстремизма является приоритетной задачей финансовых разведок.","Религиозный экстремизм"
"Олар жетімдерге көмек немесе мәдени жобалар желеуімен саяси экстремизмге ақша жинаған.","Религиозный экстремизм"
"Using a network of shell companies and offshore accounts to launder money for extremist political activities.","Религиозный экстремизм"
"Экстремистік саяси әрекеттерді біле тұра қаржыландыру – ауыр қылмыс болып табылады.","Религиозный экстремизм"
"Заморожены банковские активы десятков лиц, связанных с финансированием политического экстремизма.","Религиозный экстремизм"
"Танымал краудфандинг платформалары арқылы радикалды саяси жобаларға қаражат жинау әрекеті байқалды.","Религиозный экстремизм"
"An international investigation is underway into illegal funding sources for this extremist political network.","Религиозный экстремизм"
"Шалғайдағы аймақтың күшпен бөлінуіне және орталық билікке қарсы қарулы күреске саяси шақыру.","Религиозный экстремизм"
"Пропаганда насильственного сепаратизма под лозунгами защиты прав этнических меньшинств и политической автономии.","Религиозный экстремизм"
"Бұл сепаратистік топ мемлекеттің аумақтық тұтастығын бұзып, тәуелсіз халық республикасын жариялауға тырысады.","Религиозный экстремизм"
"Создание подпольных вооруженных отрядов для борьбы за политическую независимость спорного региона.","Религиозный экстремизм"
"Сепаратистік ұйымның бірнеше лидері саяси экстремизм және терроризм үшін ұзақ мерзімге сотталды.","Религиозный экстремизм"
"Open calls for armed secession, potentially leading to ethnic conflict and large-scale civil war.","Религиозный экстремизм"
"Мемлекеттің бір бөлігін күшпен тартып алуға және мемлекеттік шекараны өзгертуге бағытталған үндеулер.","Религиозный экстремизм"
"Forceful suppression of violent separatist movements threatening national integrity and political stability.","Религиозный экстремизм"
"Экстремистік сепаратизм идеяларын тарату арқылы аймақта саяси араздық пен қақтығыс тудыру.","Религиозный экстремизм"
"Revealed links between violent separatist groups and foreign intelligence agencies seeking political destabilization.","Религиозный экстремизм"
"Конституциялық құрылымды заңсыз, күштеп өзгертуге бағытталған кез келген саяси әрекет экстремизмге жатады.","Религиозный экстремизм"
"Публичное систематическое отрицание легитимности действующих государственных институтов, законов и выборов.","Религиозный экстремизм"
"Олардың түпкі саяси мақсаты – қолданыстағы конституцияны жойып, өздерінің авторитарлық тәртібін орнату.","Религиозный экстремизм"
"Попытки создания нелегитимных параллельных структур власти (теневое правительство, народные советы).","Религиозный экстремизм"
"Мемлекеттік туды немесе елтаңбаны көпшілік алдында қорлау арқылы билікті мойындамайтынын көрсету әрекеттері.","Религиозный экстремизм"
"Deliberately undermining democratic processes and institutions through violence, intimidation, and disinformation tactics.","Религиозный экстремизм"
"Интернетте конституцияға қарсы саяси үгіт-насихат жүргізу және төңкеріске шақыру.","Религиозный экстремизм"
"Раскрыт заговор группы военных с целью насильственного изменения существующего конституционного строя.","Религиозный экстремизм"
"Демократиялық сайлаулар мен сот жүйесін толығымен жоққа шығару және оларға бағынбауға шақыру.","Религиозный экстремизм"
"Covert political activities aimed at disrupting the normal functioning of the state apparatus and administration.","Религиозный экстремизм"
"Әлеуметтік желілерде жаппай тәртіпсіздіктер ұйымдастыруға саяси шақырулар белсенді таратылды.","Религиозный экстремизм"
"Использование мирных политических протестов как прикрытия для провокации насилия и столкновений с полицией.","Религиозный экстремизм"
"Олар алдын ала келісіп, қала көшелерінде саяси мақсатта қақтығыстар мен погромдар ұйымдастыруды жоспарлаған.","Религиозный экстремизм"
"Координация действий агрессивных групп погромщиков через закрытые каналы в мессенджерах для политических акций.","Религиозный экстремизм"
"Жаппай тәртіпсіздіктер кезінде мемлекеттік ғимараттар мен жеке мүлікке саяси мотивпен айтарлықтай зиян келтірілді.","Религиозный экстремизм"
"Deliberately inciting riots and civil disorder as a method of applying political pressure on authorities.","Религиозный экстремизм"
"Арнайы дайындалған саяси провокаторлар бейбіт митингілерде жағдайды қасақана ушықтыруға тырысты.","Религиозный экстремизм"
"Задержаны предполагаемые организаторы и координаторы готовящихся массовых беспорядков с политическими лозунгами.","Религиозный экстремизм"
"Әдейі жасалған саяси арандатушылық әрекеттер мен фейк жаңалықтар қақтығысқа әкеп соқты.","Религиозный экстремизм"
"Using social media platforms to rapidly mobilize large crowds for violent political riots and looting.","Религиозный экстремизм"
"Белгілі бір саяси топтың таңдаулы екендігі және ерекше тарихи миссиясы туралы идеяларды саяси мақсатта тарату.","Религиозный экстремизм"
"Пропаганда идеологического превосходства сторонников одной политической доктрины над всеми остальными неверными.","Религиозный экстремизм"
"Олар өздерін ақиқат жолындағылар, ал саяси қарсыластарын халық жаулары және сатқындар деп санайды.","Религиозный экстремизм"
"Systematic dehumanization of political opponents in propaganda, portraying them as subhuman, vermin or traitors.","Религиозный экстремизм"
"Адамдарды тек саяси көзқарасы үшін кемсіту, қорлау және оларға қарсы агрессияға ашық шақыру.","Религиозный экстремизм"
"Claiming absolute moral superiority for their political ideology to justify violence and repression against dissenters.","Религиозный экстремизм"
"Бұл экстремистік саяси идеология әлемді тек адал біз және зұлым олар деп қара-ақ түстерде бөлуге негізделген.","Религиозный экстремизм"
"Aggressively promoting the idea that only their specific political system or ideology is valid and all others must be destroyed.","Религиозный экстремизм"
"Өзге саяси көзқарастағыларды екінші сортты адамдар, ұлт сатқындары немесе манкурттер деп атау риторикасы.","Религиозный экстремизм"
"Cultivating a deep sense of historical grievance and collective entitlement among their political supporters.","Религиозный экстремизм"
"Елімізде Саяси экстремизмге қарсы іс-қимыл туралы заңның жаңа редакциясы талқылануда.","Религиозный экстремизм"
"Арнайы қызметтер радикалды саяси экстремистік ұяшықты жою бойынша арнайы операция өткізді.","Религиозный экстремизм"
"Саяси экстремизмнің алдын алу бойынша профилактикалық жұмыстар мектептер мен университеттерде тұрақты жүргізілуде.","Религиозный экстремизм"
"Блокировка банковских счетов и заморозка активов лиц, связанных с деятельностью политических экстремистов.","Религиозный экстремизм"
"Уәкілетті органдар экстремистік саяси мазмұндағы сайттарды анықтап, оларға қолжетімділікті бұғаттауда.","Религиозный экстремизм"
"Strengthening international cooperation and information exchange in combating transnational political extremism.","Религиозный экстремизм"
"Радикалды саяси идеологияның зияны мен қаупі туралы ақпараттық кампаниялар БАҚ-та жүргізілуде.","Религиозный экстремизм"
"Development and implementation of rehabilitation and deradicalization programs for former political extremists.","Религиозный экстремизм"
"Қоғамда саяси төзімділік пен өзара сыйластық мәдениетін арттыру – экстремизмнің алдын алудың маңызды жолы.","Религиозный экстремизм"
"Continuous monitoring and detailed analysis of evolving political extremist narratives and propaganda online.","Религиозный экстремизм"
"Әлеуметтік желілер мен мессенджерлер радикалды саяси топтардың негізгі коммуникация және үгіт алаңына айналды.","Религиозный экстремизм"
"Использование тысяч фейковых аккаунтов и ботов для искусственного распространения экстремистской политической пропаганды.","Религиозный экстремизм"
"Микро-таргеттелген жарнама технологиялары арқылы экстремистік саяси идеяларды белгілі бір аудиторияға тарату.","Религиозный экстремизм"
"Major online platforms face increasing pressure to proactively detect and remove political extremist content much faster.","Религиозный экстремизм"
"Экстремистік саяси топтар жабық, шифрланған чаттарда өздерінің заңсыз әрекеттерін үйлестіреді және жоспарлайды.","Религиозный экстремизм"
"The dangerous spread of online political echo chambers and filter bubbles significantly accelerating user radicalization.","Религиозный экстремизм"
"Желідегі анонимділік пен жасырындық саяси экстремистерге жазасыздық сезімін беріп, қолайлы жағдай туғызады.","Религиозный экстремизм"
"Fact-checking initiatives and campaigns aimed at debunking extremist political disinformation spread on social media.","Религиозный экстремизм"
"Кейбір әлеуметтік медиа алгоритмдері байқаусызда радикалды және сенсациялық саяси контенттің таралуына ықпал етуі мүмкін.","Религиозный экстремизм"
"Promoting critical thinking and digital media literacy as crucial tools against sophisticated online political extremism.","Религиозный экстремизм"
"Жеке бастың ауыр проблемалары мен психологиялық жарақаттар кейде саяси радикалдануға итермелеуі мүмкін.","Религиозный экстремизм"
"Интенсивная психологическая обработка (промывка мозгов) новых рекрутов в закрытых политических экстремистских группах.","Религиозный экстремизм"
"Өмірден өз орнын таппай, ізденісте жүрген жастар экстремистік саяси идеологияның ықпалына оңай түсіп қалады.","Религиозный экстремизм"
"The significant role of charismatic, manipulative political leaders in attracting and retaining devoted followers.","Религиозный экстремизм"
"Топтық ойлау мен ішкі қысым жеке тұлғаның саяси радикалдану процесін айтарлықтай тездетеді.","Религиозный экстремизм"
"Cynical exploitation of deep-seated feelings of social injustice, marginalization, and perceived political victimhood.","Религиозный экстремизм"
"Когнитивтік бұрмалаулар мен қарапайым түсіндірмелер экстремистік, ақ-қара саяси көзқарастарды қалыптастырады.","Религиозный экстремизм"
"Understanding the complex individual and social pathways to political radicalization is absolutely key for effective prevention.","Религиозный экстремизм"
"Эмоциялық тұрақсыздық, импульсивтілік және төмен өзін-өзі бағалау саяси экстремистік идеологияға бейімділікті арттырады.","Религиозный экстремизм"
"Successful political deradicalization often requires addressing underlying psychological needs and providing alternative social support.","Религиозный экстремизм"
"Олардың саяси үндеулерінде тазарту, жою, сатқындарды жазалау сияқты қауіпті сөздер жиі қолданылады.","Религиозный экстремизм"
"Использование исторических обид и травм для оправдания сегодняшнего политического насилия и реваншизма.","Религиозный экстремизм"
"Саяси плюрализмді, сөз бостандығын және демократиялық институттарды толығымен жоққа шығаратын идеология.","Религиозный экстремизм"
"Threats against journalists and activists investigating political extremist groups and their connections.","Религиозный экстремизм"
"Мемлекеттік қызметкерлерді жүйенің бұрандалары, халық жаулары деп атап, оларға шабуыл жасауға шақыру.","Религиозный экстремизм"
"Recruitment attempts for political extremist groups disguised as patriotic youth clubs or historical societies.","Религиозный экстремизм"
"Экстремистік саяси топтардың халықаралық ұйымдармен және шетелдік арнайы қызметтермен байланысы анықталды.","Религиозный экстремизм"
"Отрицание права на существование определенных политических партий, движений или идеологий.","Религиозный экстремизм"
"Саяси тұтқындарды босату үшін күш қолдануға, соның ішінде адамдарды кепілге алуға дайын екендіктерін мәлімдеу.","Религиозный экстремизм"
"Exploitation of economic hardship, unemployment, and poverty to fuel political extremism and recruit followers.","Религиозный экстремизм"
"Жасырын саяси жиналыстарда қару қолдану тактикасын, жарылғыш заттар жасауды талқылау.","Религиозный экстремизм"
"Пропаганда разнообразных теорий заговора для дискредитации властей, разжигания недоверия и ненависти.","Религиозный экстремизм"
"Саяси экстремизммен күресте қоғамдық пікір лидерлері мен діни қайраткерлердің рөлі өте маңызды.","Религиозный экстремизм"
"Using deepfake technology to create fake videos of politicians saying inflammatory things to incite violence.","Религиозный экстремизм"
"Шекаралас аймақтарда сепаратистік және ирредентистік саяси экстремистік топтардың белсенділігі артты.","Религиозный экстремизм"
"Призывы к бойкоту демократических выборов с угрозами физической расправы в адрес избирателей и членов комиссий.","Религиозный экстремизм"
"Саяси экстремизм – бұл тек зорлық-зомбылық қана емес, сонымен қатар оны ақтайтын қауіпті идеология.","Религиозный экстремизм"
"Targeting educational institutions (schools, universities) for radical political recruitment and propaganda dissemination.","Религиозный экстремизм"
"Мемлекеттік төңкерісті, революциялық зорлық-зомбылықты романтизациялау және оған ашық шақыру.","Религиозный экстремизм"
"Attempts by political extremists to infiltrate law enforcement agencies, military structures, and intelligence services.","Религиозный экстремизм"
"Интернеттегі радикалды саяси топтарға қарсы белсенді кибер-күрес пен мониторинг жүргізілуде.","Религиозный экстремизм"
"Оправдание и даже поощрение насилия над предателями и отступниками внутри своего же политического движения.","Религиозный экстремизм"
"Саяси экстремизмнің алдын алу үшін әлеуметтік әділеттілікті қамтамасыз ету және теңсіздікті азайту маңызды.","Религиозный экстремизм"
"The well-documented link between far-right political extremism and hate crimes against minorities.","Религиозный экстремизм"
"Көшедегі саяси қақтығыстарды ұйымдастыру үшін алдын ала дайындық, қару-жарақ пен қорғаныс құралдарын жинау.","Религиозный экстремизм"
"Creating autonomous zones or liberated territories challenging state authority and laws within a country.","Религиозный экстремизм"
"Саяси көзқарасы негізінде адамдарды жұмыстан шығаруға, оқудан қууға немесе қоғамнан аластатуға шақыру.","Религиозный экстремизм"
"Extremist political manifestos often outline utopian, unrealistic futures achieved through violence and destruction.","Религиозный экстремизм"
"Радикалды саяси топтардың жастар субкультураларына (мысалы, футбол фанаттары, музыкалық ағымдар) ену әрекеттері.","Религиозный экстремизм"
"Использование спортивных клубов, секций единоборств как прикрытия для подготовки боевиков и экстремистской деятельности.","Религиозный экстремизм"
"Мемлекеттік институттардың (парламент, соттар, министрліктер) жұмысын күшпен тоқтатуға бағытталған әрекеттер.","Религиозный экстремизм"
"Political extremism often thrives in environments characterized by weak governance, widespread corruption, and impunity.","Религиозный экстремизм"
"Экстремистік саяси әдебиеттерді, символдарды сақтағаны және таратқаны үшін қылмыстық жауапкершілік қарастырылған.","Религиозный экстремизм"
"Glorifying historical figures known for political repression, mass violence, tyranny, or collaborationism.","Религиозный экстремизм"
"Шетелде жасырынып жүрген саяси экстремистердің интернет арқылы белсенді үгіт-насихат жүргізуі.","Религиозный экстремизм"
"Призывы к созданию народного трибунала или революционного суда для внесудебной расправы над чиновниками и врагами.","Религиозный экстремизм"
"Саяси экстремизмге қарсы тұру үшін әрбір азаматтың саналы позициясын көрсетуі маңызды.","Религиозный экстремизм"
"The growing danger of lone wolf political extremists radicalized primarily online without direct group contact.","Религиозный экстремизм"
"Экстремистік деп танылған саяси ұйымның қызметін БАҚ-та немесе желіде насихаттауға қатаң тыйым салынған.","Религиозный экстремизм"
"Denial of fundamental democratic rights and freedoms to specific political groups or ideological opponents.","Религиозный экстремизм"
"Радикалды саяси имамдардың немесе идеологтардың уағыздарындағы жасырын экстремистік шақырулар мен ишаралар.","Религиозный экстремизм"
"Using conspiracy theories about rigged elections or stolen votes to incite political violence and unrest.","Религиозный экстремизм"
